County,Event,Year,IsApple,Given Name,Given Name Clean,Old Alt Name,Alt Name Clean,Old Presumed Name,Use Name,Possibly Wrong Use Name,Debug Presumed Name From:,Presumed Name: 1,Presumed Name: Other,Debug Auto Filled Use Name From:
androscoggin,pine tree grange,1903,True,Starky,starky,,,,,,,,,
androscoggin,pine tree grange,1903,False,(Pear) Keiffe,(pear) keiffe,,,,,,,,,
androscoggin,pine tree grange,1919,True,Sptzenberg,sptzenberg,,,,,,,,,
androscoggin,west minot,1911,True,Greenings,greenings,,,,,,,,,
androscoggin,west minot,1914,True,Greenings,greenings,,,,,,,,,
androscoggin,west minot,1919,False,(Pear) Berre de Bosc,(pear) berre de bosc,,,,,,,,,
androscoggin,west minot,1919,False,(Pear) Keifer,(pear) keifer,,,,,,,,,
androscoggin,west minot,1919,True,Greenings,greenings,,,,,,,,,
kennebec,kennebec central agricultural society,1842,True,Jerry Brown,jerry brown,,,,,,,,,
kennebec,monmouth,1878,False,(Pear) Curtis,(pear) curtis,,,,,,,,,
kennebec,monmouth,1883,True,Emperess of Russia,emperess of russia,,,,,,,,,
kennebec,capitol grange,1889,True,Keeper,keeper,,,,,,,,,
kennebec,kennebec county,1838,True,Lambard Apple,lambard apple,,,,,,,,,
kennebec,kennebec county,1838,True,Never Equalled,never equalled,,,,,,,,,
cumberland,new gloucester and danville,1901,True,Twenty—Ounce,twenty—ounce,,,,,,,,,
cumberland,freeport agricultural associetyon,1909,True,Fallonstin Crab,fallonstin crab,,,,,,,,,
cumberland,freeport agricultural associetyon,1909,True,Sweet Bellflower,sweet bellflower,,,,,,,,,
franklin,franklin county,1911,True,Benn Apple,benn apple,,,,,,,,,
franklin,franklin county,1932,False,(Pear) Doyen d'Ete,(pear) doyen d'ete,,,,,,,,,
franklin,franklin county,1937,True,Grine's Golden,grine's golden,,,,,,,,,
franklin,franklin county,1950,True,Yellow Gravenstein,yellow gravenstein,,,,,,,,,
franklin,franklin county,1950,True,Summer York,summer york,,,,,,,,,
franklin,franklin county,1950,True,Striped Snow,striped snow,,,,,,,,,
franklin,north franklin county,1880,True,Adeline,adeline,,,,,,,,,
