Location,Latitude,Longitude
acton,43.5234,-70.9278
alfred,43.47511639,-70.71528393
amherst,44.8323,-68.364
andover,44.63595285,-70.75169077
anson,44.82777123,-69.94266819
appleton,44.28728094,-69.25583774
athens,44.9236,-69.6729
atkinson mills,45.15986601,-69.08248251
augusta,44.32173371,-69.77123599
baldwin,43.8332,-70.7782
bangor,44.82179104,-68.78066799
bath,43.91196589,-69.82247018
belfast,44.42503476,-69.01700273
belgrade,44.46615082,-69.83107568
belmont,44.37718956,-69.1136368
bethel,44.41019931,-70.79546898
biddeford,43.49387279,-70.45744589
blue hill,44.41242298,-68.59205993
bolsters mills,44.1159018,-70.59668032
boothbay,43.8753,-69.6338
bridgton,44.05530797,-70.7369216
brighton,44.0538,-70.7145
bristol,43.9575,-69.509167
brooks,44.55418212,-69.12385145
bryant pond,44.37783526,-70.64603568
buxton,43.63797,-70.51931
camden,44.21120252,-69.07477877
canaan,44.7617,-69.5614
canton,44.44029548,-70.31521095
carmel,44.79748679,-69.05105974
chelsea,44.25498628,-69.71568949
cherryfield,44.5979,-67.9245
cornville,44.8367,-69.6731
cumberland,43.7965,-70.2585
damariscotta,44.02910033,-69.51768479
denmark,43.9703,-70.8034
dexter,45.02568809,-69.28762326
dixfield,44.54152526,-70.43477815
dixmont,44.6803,-69.1628
dixmont centre,44.6895,-69.1203
dover,45.25523624,-68.98765565
dover-foxcroft,45.1868274,-69.23201521
dresden,44.076944,-69.75
durham,43.9725,-70.123
east dover,45.18646446,-69.16987183
east eddington,44.792,-68.5828
east hebron,44.22552627,-70.31783293
east knox,44.50658096,-69.21216439
east livermore,44.4753,-70.1881
east orland,44.566667,-68.679722
east palermo,44.37019616,-69.3917093
east vassalboro,44.44864718,-69.60624898
ede's falls,43.999,-70.5687
eden (bar harbor),44.4309,-68.3209
ellsworth,44.5432046,-68.42494098
embden station,44.918056,-69.866667
etna,44.8209,-69.1112
exeter,44.9622,-69.1225
fairfield,44.59326877,-69.60416482
farmington,44.67094478,-70.15239243
fayette,44.45311367,-70.0694309
fort fairfield,46.77142854,-67.84373801
fort field,46.76924224,-67.83616274
franklin,44.59122132,-68.22960542
freedom,44.52962831,-69.29943234
freeport,43.85710247,-70.10124973
fryeburg,44.02446799,-70.97189275
gardiner,44.21293292,-69.78225337
garland,45.0384,-69.1603
goodwin's mills,43.5087,-70.5817
gorham,43.68258407,-70.44596987
greene,44.1898,-70.1403
hampden,44.74287842,-68.83952692
hancock,44.5287,-68.254
harrison,44.1103,-70.6792
hartford centre,44.37299726,-70.34667439
hebron,44.19732335,-70.40800334
hope,44.26454639,-69.1587425
jackson,44.61473539,-69.12154765
jay,44.5039,-70.2162
kennebunk,43.39740358,-70.55908549
kennebunkport,43.36285273,-70.47516294
leeds,44.3034,-70.1195
lewiston,44.09555429,-70.16492309
limerick,43.682778,-70.771667
lincolnville,44.28168264,-69.0099686
lisbon,44.0316,-70.1044
litchfield,44.15671958,-69.93199523
livermore falls,44.47466923,-70.17473538
manchester,44.32668585,-69.86515575
mapleton,46.68267605,-68.15733123
mariaville,44.6989,-68.4136
mechanic falls,44.1092907,-70.3961874
mercer,44.6781,-69.9364
milo,45.25523624,-68.98765565
monmouth,44.23919227,-70.03492326
monroe,44.61610757,-69.02130988
moscow,45.0714,-69.8911
naples,43.97244764,-70.59687065
new portland,44.88422,-70.09673
nobleboro,44.079444,-69.485
north anson,44.855,-69.8997
north augusta,44.37096007,-69.79179853
north baldwin,43.84634182,-70.68843342
north blue hill,44.48811693,-68.62026704
north buckfield,44.31062147,-70.40416004
north cornville,44.91104162,-69.64526041
north ellsworth,44.572223,-68.476039
north haven,44.16122981,-68.85194953
