Event,apple_Events,source_Events,Use Event Name,Year,Sheet Names,Location,Source:1,Source:2,Source:3,Source:4
alamoosook grange,alamoosook grange,alamoosook grange,alamoosook grange,1909,orland,east orland,ellsworth american|1909-10-27 00:00:00|premiums||3|,,,
alewive grange,alewive grange,alewive grange,alewive grange,1890,kennebunk,kennebunk,biddeford daily journal|1890-10-03 00:00:00||description|2|,,,
alewive grange,alewive grange,alewive grange,alewive grange,1891,kennebunk,kennebunk,biddeford weekly journal|1891-10-02 00:00:00|premiums||3|,,,
alewive grange,alewive grange,alewive grange,alewive grange,1892,kennebunk,kennebunk,biddeford weekly journal|1892-10-14 00:00:00||description|3|,,,
androscoggin county,androscoggin county,androscoggin county,androscoggin county,1875,androscoggin county fair,,lewiston evening journal|1875-10-06 00:00:00||description|3|,lewiston evening journal|1875-10-07 00:00:00||description|3|,,
androscoggin county,androscoggin county,androscoggin county,androscoggin county,1877,androscoggin county fair,lewiston,lewiston evening journal|1877-10-02 00:00:00||description|3|,lewiston evening journal|1877-10-03 00:00:00|premiums|description|3|,lewiston evening journal|1877-10-04 00:00:00|premiums||3|,
androscoggin county,androscoggin county,androscoggin county,androscoggin county,1919,androscoggin county fair,livermore falls,lewiston evening journal|1919-10-03 00:00:00|premiums||8|,,,
androscoggin county,androscoggin county,androscoggin county,androscoggin county,1887,androscoggin county fair,,lewiston saturday journal|1887-10-08 00:00:00|premiums||8|,,,
androscoggin county,androscoggin county,androscoggin county,androscoggin county,1878,androscoggin county fair,,maine farmer|1878-10-12 00:00:00|premiums||3|,,,
androscoggin county,androscoggin county,androscoggin county,androscoggin county,1899,androscoggin county fair,livermore falls,maine farmer|1899-09-07 00:00:00|premiums||8|,,,
androscoggin grange,androscoggin grange,androscoggin grange,androscoggin grange,1899,greene,greene,lewiston evening journal|1899-10-04 00:00:00|premiums||2|,,,
androscoggin grange,,androscoggin grange,androscoggin grange,1900,greene,greene,lewiston evening journal|1900-10-18 00:00:00|premiums||5|,,,
androscoggin grange,,androscoggin grange,androscoggin grange,1904,greene,greene,lewiston evening journal|1904-10-12 00:00:00|premiums|description|9|,,,
androscoggin grange,,androscoggin grange,androscoggin grange,1905,greene,greene,lewiston evening journal|1905-10-11 00:00:00|premiums||5|,,,
androscoggin grange,,androscoggin grange,androscoggin grange,1906,greene,greene,lewiston evening journal|1906-10-10 00:00:00|premiums|description|5|,,,
androscoggin grange,,androscoggin grange,androscoggin grange,1907,greene,greene,lewiston evening journal|1907-10-10 00:00:00|premiums||3|,,,
androscoggin grange,,androscoggin grange,androscoggin grange,1908,greene,greene,lewiston evening journal|1908-10-08 00:00:00|premiums||7|,,,
androscoggin grange,,androscoggin grange,androscoggin grange,1909,greene,greene,lewiston evening journal|1909-10-06 00:00:00|premiums|description|2|,,,
androscoggin grange,,androscoggin grange,androscoggin grange,1913,greene,greene,lewiston evening journal|1913-10-08 00:00:00|premiums|description|8|,,,
androscoggin grange,,androscoggin grange,androscoggin grange,1914,greene,greene,lewiston evening journal|1914-10-07 00:00:00|premiums||10|,,,
androscoggin grange,,androscoggin grange,androscoggin grange,1915,greene,greene,lewiston evening journal|1915-10-06 00:00:00|premiums||8|,,,
androscoggin grange,,androscoggin grange,androscoggin grange,1916,greene,greene,lewiston evening journal|1916-10-04 00:00:00|premiums||6|,,,
androscoggin grange,,androscoggin grange,androscoggin grange,1919,greene,greene,lewiston evening journal|1919-10-01 00:00:00|premiums||10|,,,
androscoggin grange,,androscoggin grange,androscoggin grange,1920,greene,greene,lewiston evening journal|1920-09-29 00:00:00|premiums||12|,,,
androscoggin valley,,androscoggin valley,androscoggin valley,1894,canton,canton,lewiston evening journal|1894-10-05 00:00:00|premiums||3|,,,
androscoggin valley,,androscoggin valley,androscoggin valley,1895,canton,canton,lewiston evening journal|1895-10-05 00:00:00|premiums||10|,,,
androscoggin valley,,androscoggin valley,androscoggin valley,1899,canton,canton,lewiston evening journal|1899-10-02 00:00:00|premiums||3|,,,
androscoggin valley,,androscoggin valley,androscoggin valley,1901,canton,canton,lewiston evening journal|1901-09-27 00:00:00|premiums||3|,oxford democrat|1901-10-01 00:00:00|premiums||3|,,
androscoggin valley,,androscoggin valley,androscoggin valley,1902,canton,canton,lewiston evening journal|1902-09-26 00:00:00|premiums||2|,,,
