IsApple,name,Presumed Name,Use Name,possible wrong is apple,dups in name,,
TRUE,abe lincoln,red astrachan,red astrachan,,FALSE,,
TRUE,acme,acme,acme,,FALSE,,
FALSE,adelaide,adalaine,adalaine,,FALSE,,
FALSE,adeline,adalaine,adalaine,,FALSE,,
TRUE,alexander,alexander,alexander,,FALSE,,
TRUE,alexandria,alexander,alexander,,FALSE,,
TRUE,allen,,allen,,FALSE,,
TRUE,american beauty,sterling,sterling,,FALSE,,
TRUE,american blush,,american blush,,FALSE,,
TRUE,american golden pippin,,american golden pippin,,FALSE,,
TRUE,american golden russet,,american golden russet,,FALSE,,
TRUE,american pippin,,american pippin,,FALSE,,
TRUE,american russet,,american russet,,FALSE,,
TRUE,american summer pearmain,american summer pearmain,american summer pearmain,,FALSE,,
FALSE,anglo,beurre d'anjou,beurre d'anjou,,FALSE,,
FALSE,anjon,beurre d'anjou,beurre d'anjou,,FALSE,,
FALSE,anjou,beurre d'anjou,beurre d'anjou,,FALSE,,
TRUE,araboskoe,arabaskoe,arabaskoe,,FALSE,,
TRUE,arctic,arctic,arctic,,FALSE,,
TRUE,arctic baldwin,arctic,arctic,,FALSE,,
TRUE,arkansas beauty,arkansas beauty,arkansas beauty,,FALSE,,
TRUE,arkansas black,arkansas black,arkansas black,,FALSE,,
TRUE,arkansas red,arkansas,arkansas,,FALSE,,
TRUE,aroostook sweeting,,aroostook sweeting,,FALSE,,
FALSE,assumption,beurre de l'assomption,beurre de l'assomption,,FALSE,,
TRUE,astrachan,red astrachan,red astrachan,,FALSE,,
TRUE,auburn sweet,,auburn sweet,,FALSE,,
TRUE,august greening,,august greening,,FALSE,,
TRUE,august sweet,sweet bough,sweet bough,,FALSE,,
TRUE,aunt hannah,aunt hannah,aunt hannah,,FALSE,,
TRUE,austin sweet,austin,austin,,FALSE,,
TRUE,autumn strawberry,late strawberry,late strawberry,,FALSE,,
TRUE,autumn sweet,,autumn sweet,,FALSE,,
TRUE,b. c. oxford,black oxford,black oxford,,FALSE,,
FALSE,b. d. anjou,beurre d'anjou,beurre d'anjou,,FALSE,,
FALSE,b. de anjou,beurre d'anjou,beurre d'anjou,,FALSE,,
TRUE,bailey sweet,bailey sweet,bailey sweet,,FALSE,,
TRUE,bailey's sweet,bailey sweet,bailey sweet,,FALSE,,
TRUE,baker sweet,baker sweet,baker sweet,,FALSE,,
TRUE,baker's sweet,baker sweet,baker sweet,,FALSE,,
TRUE,baking sweet,baker sweet,baker sweet,,FALSE,,
TRUE,baldwin,baldwin,baldwin,,FALSE,,
TRUE,baldwin canada,canada baldwin,canada baldwin,,FALSE,,
TRUE,ball pippin,fall pippin,fall pippin,,FALSE,,
TRUE,ball sweet,,ball sweet,,FALSE,,
TRUE,ballister,,ballister,,FALSE,,
TRUE,bally's sweet,bailey sweet,bailey sweet,,FALSE,,
TRUE,baltimore pippin,,baltimore pippin,,FALSE,,
TRUE,banana,winter banana,winter banana,,FALSE,,
TRUE,banana apple,winter banana,winter banana,,FALSE,,
TRUE,banana russet,banana russet,banana russet,,FALSE,,
TRUE,banana sweet,,banana sweet,,FALSE,,
FALSE,banfee,,banfee,,FALSE,,
TRUE,banna,winter banana,winter banana,,FALSE,,
FALSE,bare basque,beurre bosc,beurre bosc,,FALSE,,
TRUE,bare limb greening,fall harvey,fall harvey,,FALSE,,
TRUE,barker red,,barker red,,FALSE,,
TRUE,barkis,,barkis,,FALSE,,
TRUE,barley sweet,bailey sweet,bailey sweet,,FALSE,,
FALSE,barltett,bartlett,bartlett,,FALSE,,
TRUE,barmer sweet,,barmer sweet,,FALSE,,
TRUE,barret greening,,barret greening,,FALSE,,
TRUE,barter,baxter,baxter,,FALSE,,
FALSE,bartlett,bartlett,bartlett,,FALSE,,
TRUE,bartlett sweet,,bartlett sweet,,FALSE,,
TRUE,barton pippin,,barton sweet,,FALSE,,
TRUE,basin sweet,,basin sweet,,FALSE,,
TRUE,basket apple,,basket apple,,FALSE,,
TRUE,basket sweet,,basket sweet,,FALSE,,
TRUE,baxter,baxter,baxter,,FALSE,,
FALSE,be-an-jean,beurre d'anjou,beurre d'anjou,,FALSE,,
TRUE,beane,deane,deane,,FALSE,,
FALSE,beangrau,beurre d'anjou,beurre d'anjou,,FALSE,,
TRUE,beateamer,bietigheimer,bietigheimer,,FALSE,,
FALSE,beau ambjean,beurre d'anjou,beurre d'anjou,,FALSE,,
FALSE,beau ideal,beurre diel,beurre diel,,FALSE,,
FALSE,beauce,beurre bosc,beurre bosc,,FALSE,,
FALSE,beaurre d'anjou,beurre d'anjou,beurre d'anjou,,FALSE,,
FALSE,beauty,flemish beauty,flemish beauty,,FALSE,,
TRUE,beauty,,beauty,,FALSE,,
FALSE,beauty flemish,flemish beauty,flemish beauty,,FALSE,,
TRUE,beauty kent,beauty of kent,beauty of kent,,FALSE,,
TRUE,beauty of kent,beauty of kent,beauty of kent,,FALSE,,
TRUE,beauty of kind,beauty of kent,beauty of kent,,FALSE,,
TRUE,beauty of sweden,beauty of sweden,beauty of sweden,,FALSE,,
TRUE,beauty of the west,,beauty of the west,,FALSE,,
TRUE,beauty of west,,beauty of the west,,FALSE,,
TRUE,beauty sweet,,beauty sweet,,FALSE,,
TRUE,bee stings,bee stings,bee stings,,FALSE,,
TRUE,beef steak,beefsteak,beefsteak,,FALSE,,
TRUE,beef-steak,beefsteak,beefsteak,,FALSE,,
TRUE,beefsteak,beefsteak,beefsteak,,FALSE,,
TRUE,beehive,beehive,beehive,,FALSE,,
TRUE,beet apple,,beet apple,,FALSE,,
