County,Year,Event,Location,Source,Page #,2nd Page #,Premiums,Description,Date,Event ID,unique source ID
piscataquis,1912,piscataquis central fair,foxcroft,piscataquis observer,3,,premiums,,1912-10-03,"1912,piscataquis central fair","1912-10-03 00:00:00,piscataquis observer,1912,piscataquis central fair"
piscataquis,1894,piscataquis central fair,foxcroft,piscataquis observer,2,,premiums,,1894-09-27,"1894,piscataquis central fair","1894-09-27 00:00:00,piscataquis observer,1894,piscataquis central fair"
piscataquis,1892,piscataquis central fair,foxcroft,piscataquis observer,3,,premiums,,1892-09-29,"1892,piscataquis central fair","1892-09-29 00:00:00,piscataquis observer,1892,piscataquis central fair"
piscataquis,1884,piscataquis central fair,foxcroft,piscataquis observer,3,,premiums,,1884-10-09,"1884,piscataquis central fair","1884-10-09 00:00:00,piscataquis observer,1884,piscataquis central fair"
piscataquis,1887,piscataquis central fair,,piscataquis observer,2,,,description,1887-09-29,"1887,piscataquis central fair","1887-09-29 00:00:00,piscataquis observer,1887,piscataquis central fair"
piscataquis,1882,piscataquis central fair,foxcroft,piscataquis observer,2,,premiums,,1882-10-12,"1882,piscataquis central fair","1882-10-12 00:00:00,piscataquis observer,1882,piscataquis central fair"
piscataquis,1864,piscataquis central fair,foxcroft,piscataquis observer,1,,,description,1864-10-27,"1864,piscataquis central fair","1864-10-27 00:00:00,piscataquis observer,1864,piscataquis central fair"
piscataquis,1892,piscataquis central fair,foxcroft,maine farmer,1,,premiums,,1892-10-13,"1892,piscataquis central fair","1892-10-13 00:00:00,maine farmer,1892,piscataquis central fair"
piscataquis,1924,pleasant river grange fair,milo,piscataquis observer,3,,premiums,,1924-11-06,"1924,pleasant river grange fair","1924-11-06 00:00:00,piscataquis observer,1924,pleasant river grange fair"
piscataquis,1890,wellington fair,wellington,pittsfield advertiser,2,,premiums,,1890-10-23,"1890,wellington fair","1890-10-23 00:00:00,pittsfield advertiser,1890,wellington fair"
piscataquis,1889,wellington fair,wellington,pittsfield advertiser,1,,premiums,,1889-10-24,"1889,wellington fair","1889-10-24 00:00:00,pittsfield advertiser,1889,wellington fair"
